business_name,category,phone,email,website,rating,review_count,address,city,maps_url
EZZA DENTAL CARE,Dental clinic,0784232232,N/A,http://ezzadentalcare.com/,4.8,189,"17a Namasole Road, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/EZZA+DENTAL+CARE/@0.286777,32.5351651,14z/data=!4m9!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m5!1s0x177dbd5281df73ef:0x5edd5fc177c1b6a4!8m2!3d0.2867775!4d32.5712137!16s%2Fg%2F11jgtb7q3w?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Dental clinic in kampala - Victory dental hub,Dental clinic,0744000777,N/A,http://victorydentalhub.com/,4.8,137,"Kira Rd, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Dental+clinic+in+kampala+-+Victory+dental+hub/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x8feccb504a55f9c3:0xfd35d95d8531f750!8m2!3d0.3411166!4d32.5886541!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJtYUdOMVJHRkJFQUXgAQD6AQQIKhBI!16s%2Fg%2F11vd6j_39x?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Nex Dental CARE Clinic,Dental clinic,0706050229,N/A,N/A,N/A,N/A,Kampala ,"Kampala, Uganda","https://www.google.com/maps/place/Nex+Dental+CARE+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbb233910561b:0x2c69084a0eb3dac1!8m2!3d0.3151692!4d32.5816313!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQ1kZW50YWxfY2xpbmlj4AEA!16s%2Fg%2F11krnwq2gd?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Sterling Dental Clinic,Dental clinic,0766526236,N/A,https://sterlingdentalclinickampala.com/,4.9,106,"Garden City Mall, Yusuf Lule Rd, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Sterling+Dental+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbb8431c0ef21:0x8c0b7a8c91d2261c!8m2!3d0.3202137!4d32.5908396!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWTGFURjBYM1pzYzFsMlVHRm5FQUXgAQD6AQUItQEQQQ!16s%2Fg%2F11bc8cq054?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Impressions Dental Clinic,Dental clinic,0392002015,N/A,N/A,3.7,3,"Coral Cres, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Impressions+Dental+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbb9ae56a8f37:0xf011be605e44bb05!8m2!3d0.3145651!4d32.5839546!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQ1kZW50YWxfY2xpbmlj4AEA!16s%2Fg%2F11c6cbngbb?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Run Dental Clinic,Dental clinic,0772642592,N/A,http://www.runfoundationug.org/,5.0,3,"Johnston Street, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Run+Dental+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbc81f326607d:0x5a2ab37af954cef!8m2!3d0.3149085!4d32.5773785!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU4zZGt4dVNHMUJSUkFC4AEA-gEECAAQMg!16s%2Fg%2F12qhcrhgy?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
K.H Dental,Dentist,0704605561,N/A,http://www.kaysdentalclinic.com/,N/A,N/A,"Speke Road, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/K.H+Dental/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbc8072948b87:0x50b0190928760e44!8m2!3d0.3149151!4d32.5822546!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQdkZW50aXN04AEA!16s%2Fg%2F1vv2pmbq?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
The Hub Dental Practice Kampala,Dental clinic,0779101638,N/A,N/A,4.8,114,"71812, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/The+Hub+Dental+Practice+Kampala/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbbf69914e0af:0x16f55b739af25609!8m2!3d0.3280444!4d32.5704725!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJRT0hCeGVVdG5FQUXgAQD6AQQIaBBA!16s%2Fg%2F11scx0j3cy?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Exploits Dental Clinic,Dental clinic,0704552045,N/A,N/A,4.9,47,"8H9F+5RF, Ben Kiwanuka Rd, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Exploits+Dental+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbbbbbeb4b0bf:0xfabe53d9fe187219!8m2!3d0.3179955!4d32.5745015!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJrZERSUU5WaG5FQUXgAQD6AQQIABA3!16s%2Fg%2F11t6qdm_d_?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Riverside church international kampala lungujja near kalema road.,Dental clinic,N/A,N/A,N/A,N/A,N/A,"8H8J+3M6, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Riverside+church+international+kampala+lungujja+near+kalema+road./@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbd000a26a037:0xf845e384a56039ca!8m2!3d0.3151692!4d32.5816313!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQ1kZW50YWxfY2xpbmlj4AEA!16s%2Fg%2F11w_mk7m4n?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Rhino dental clinic,Hospital,N/A,N/A,N/A,N/A,N/A,"8H8J+3M6, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Rhino+dental+clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbd0063b3ccb3:0x1e7b185cde862088!8m2!3d0.3151692!4d32.5816313!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQhob3NwaXRhbOABAA!16s%2Fg%2F11wqwy4y7y?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
iDental Care - Equatorial Mall,Dentist,0704021094,N/A,https://identalcare.ug/,4.5,60,"Kampala Road, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/iDental+Care+-+Equatorial+Mall/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbb15f2f60cbd:0xef0dad071f5f951f!8m2!3d0.3181594!4d32.5741409!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQdkZW50aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5zY21aWVpucDNSUkFC4AEA-gEECAAQRQ!16s%2Fg%2F11nl7t_dd7?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Dental clinic in kampala - Victory dental hub,Dental clinic,0744000777,N/A,http://victorydentalhub.com/,4.8,137,"Kira Rd, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Dental+clinic+in+kampala+-+Victory+dental+hub/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x8feccb504a55f9c3:0xfd35d95d8531f750!8m2!3d0.3411166!4d32.5886541!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJtYUdOMVJHRkJFQUXgAQD6AQQIKhBI!16s%2Fg%2F11vd6j_39x?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Mwatu dental clinic,Hospital,0754668822,N/A,N/A,3.5,4,"8H6P+R22, Kampala Road, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Mwatu+dental+clinic/@0.3120091,32.5489524,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbdcafe3cffc3:0x35934a437669d1ff!8m2!3d0.3120091!4d32.5850013!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQhob3NwaXRhbOABAA!16s%2Fg%2F11h1djntvj?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
Red bank market 202,Dental clinic,N/A,N/A,N/A,N/A,N/A,"210 west Front Street, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Red+bank+market+202/@0.3120091,32.5489524,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbd0017c36a41:0x3c8e17fb0f35cd57!8m2!3d0.3151692!4d32.5816313!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQ1kZW50YWxfY2xpbmlj4AEA!16s%2Fg%2F11vyxlf06k?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D"
